"REALFULLNAME","Quantity","CodeSup","BarCode","Name of Item","Weight","Supplier Cost","Selling Price","PackSize","Type of Item","SubType","ReStock Quantity","Replenishment Amount","SupplierName","ProfitOnReturn","TaxRate","TotalQuantitySold7Days","TotalQuantitySold14Days","TotalQuantitySold30Days","LastSoldDate","TotalQuantitySold"
"Burgess Excel Guinea Pig Nuggets Blackcurrant & Oregano 2kg","6","Burfp10025c","5023861116043","Burgess Excel Guinea Pig Nuggets Blackcurrant & Oregano 2kg","0","5.5","9.2","1","Small Animal","Food","4","4","R.F Canners","26.47","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Guinea Pig Nuggets Mint 10kg","1","-","5023861111918","Burgess Excel Guinea Pig Nuggets Mint 10kg","0","18.99","42.95","1","Small Animal","Food","-1","3","R.F Canners","45.62","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Guinea Pig Nuggets Mint 2kg","1","Burfp10020c","5023861111901","Burgess Excel Guinea Pig Nuggets Mint 2kg","0","5.5","9.2","1","Small Animal","Food","4","4","R.F Canners","26.47","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Nature Snacks Country Garden Herbs 120g","1","BG1618NET","5023861116180","Burgess Excel Nature Snacks Country Garden Herbs 120g","0","1.4","3.5","1","Small Animal","Food","3","3","R.F Canners","50.8","23","0","0","1","07/11/2017 13:03:32","1"
"Burgess Excel Nature Snacks Monutain Meadow Hearbs 120g","0","BG1764NET","5023861117644","Burgess Excel Nature Snacks Monutain Meadow Hearbs 120g","0","1.5","3.5","1","Small Animal","Treats","3","8","R.F Canners","47.29","23","0","0","2","07/11/2017 13:03:32","2"
"Burgess Excel Rabbit Adult Nuggets Oregano 2kg","0","Burfp10006c","5023861115862","Burgess Excel Rabbit Adult Nuggets Oregano 2kg","0","5","9","1","Small Animal","Food","4","4","R.F Canners","31.67","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Rabbit Junior Nuggets Mint 2kg","2","Burfp10010c","5023861112335","Burgess Excel Rabbit Junior Nuggets Mint 2kg","0","0.0000","9.95","1","Small Animal","Food","4","4","R.F Canners","100","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Rabbit Nuggets Mint 10kg","1","BUR623","5023861111512","Burgess Excel Rabbit Nuggets Mint 10kg","0","17.99","32.95","1","Small Animal","Food","1","1","R.F Canners","32.84","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Hamster Harvest 750g","0","Burfp000215","5023861117446","Burgess Hamster Harvest 750g","0","2.38","5.5","1","Small Animal","Dry Food","6","9","R.F Canners","46.77","23","2","2","2","20/11/2017 11:02:26","2"
"Country Value Guinea Pig Nuggets 1.5kg","0","BG2016NET","5023861120163","Country Value Guinea Pig Nuggets 1.5kg","0","2.48","5","1","Small Animal","","4","4","R.F Canners","38.99","23","1","1","1","17/11/2017 11:49:48","1"
"Country Value Rabbit Nuggets 1.5kg","2","Burfp40030bb4","5023861120132","Country Value Rabbit Nuggets 1.5kg","0","1.85","3.65","1","Small Animal","Food","4","12","R.F Canners","37.66","23","0","0","0","01/01/1900 00:00:00","0"
"Deluxe Bunny Bottle Large 600ml","4","Cl0193","5021689019300","Deluxe Bunny Bottle Large 600ml","0","1.06","3.95","1","Small Animal","Drinkers","3","3","R.F Canners","66.99","23","0","0","0","01/01/1900 00:00:00","0"
"Deluxe Bunny Bottle Midi 320ml","1","CL0192","5021689019201","Deluxe Bunny Bottle Midi 320ml","0","0.89","3","1","Small Animal","Drinkers","1","3","R.F Canners","63.51","23","0","0","0","01/01/1900 00:00:00","0"
"Deluxe Giant Bottle  1.1L","1","CL0194","5021689019409","Deluxe Giant Bottle  1.1L","0","2.14","6.5","1","Small Animal","Drinkers","2","3","R.F Canners","59.5","23","1","1","1","20/11/2017 15:34:04","1"
"Deluxe Hamster Bottle Small 150ml","1","CL0191","5021689019102","Deluxe Hamster Bottle Small 150ml","0","0.74","2.5","1","Small Animal","Drinkers","4","12","R.F Canners","63.59","23","0","0","0","01/01/1900 00:00:00","0"
"Johnsons Antibacterial Powder Small Animals 20g","5","0157","5000476110277","Johnsons Antibacterial Powder Small Animals 20g","0","2.41","6.95","1","Small Animal","Medication","-1","3","R.F Canners","57.35","23","0","0","0","01/01/1900 00:00:00","0"
"Vet IQ Nibblet Apple 30g","2","-","750826005566","Vet IQ Nibblet Apple 30g","0","0.73","2.95","1","Small Animal","Treat","1","3","R.F Canners","69.56","23","1","1","1","16/11/2017 16:02:20","1"
"Vet IQ Nibblots Berries 30g","3","-","750826005580","Vet IQ Nibblots Berries 30g","0","0.87","2.95","1","Small Animal","Treat","1","3","R.F Canners","63.73","23","0","0","0","01/01/1900 00:00:00","0"
"Vet IQ Nibblots Carrot 30g","3","-","750826005573","Vet IQ Nibblots Carrot 30g","0","0.92","2.95","1","Small Animal","Treat","1","3","R.F Canners","61.64","23","0","0","0","01/01/1900 00:00:00","0"
"Vit-Min Drops Rabbits,Guinea","1","J/K028","5000476110284","Vit-Min Drops Rabbits,Guinea","0","2.14","6.5","1","Small Animal","Medication","1","2","R.F Canners","59.5","23","0","0","0","01/01/1900 00:00:00","0"
